game.key,game.date,game.number,name.full
6c972fb8-1b12-5842-8d6b-55ec9db88423,1915-05-08,0,Landry
81218f3b-b036-5375-bf1a-2cf52395aef6,1915-05-10,0,Landry
d8dd2a45-0339-5fe3-a66c-923e1eceb91e,1915-05-11,0,Landry
60276406-800b-587e-8438-06a59fe0fd56,1915-05-12,0,Landry
94560ada-6906-5ff1-a5bc-c3e50b832dd2,1915-05-13,0,Landry
cbcba5c2-032a-5f9a-ac69-ed3a6c69b2d6,1915-05-18,0,Jacobs
9328e491-0a2e-5d34-add2-bfa90b9201fa,1915-05-19,0,Jacobs
185d9fed-44f7-55af-a59c-124898b1c301,1915-05-20,0,Jacobs
b056a9c3-f21d-59a6-8a38-1634fbe44990,1915-05-21,0,Landry
555d61f8-50fd-5166-b674-f7aa806dcc6c,1915-05-22,1,Landry
155ec745-f94d-5ca3-9a7d-27df72250b5e,1915-05-22,2,Landry
76ccfc9f-f74a-53de-8fe1-3b053d559121,1915-05-24,1,Landry
40a3b0db-d11d-5d56-a95e-c761a161905a,1915-05-24,2,Landry
9b2bfd86-b85b-5f76-8044-6e176fa7f347,1915-05-25,0,Landry
4d7eebab-d7f9-54da-88f6-f1180d8c700d,1915-05-26,0,Jacobs
