key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
81218f3b-b036-5375-bf1a-2cf52395aef6,1915-05-10,0,Northern,,Virginia,2,,Grand Forks,10,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,0,0,0,0,0,2,0,0,,,,,,4,0,0,2,0,4,0,0,x,,,,,
f5bed763-38d3-5470-b841-8b9be8299863,1915-05-10,0,Northern,,Duluth,10,,St. Boniface,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",3,0,0,0,0,6,1,0,0,,,,,,0,0,1,1,0,1,1,0,3,,,,,
0c8e6670-e4ba-5d69-a671-0c2f7439cd30,1915-05-10,0,Northern,,Superior,2,,Winnipeg,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 11, 1915",0,0,0,1,0,1,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,
91ecf301-2261-55f9-a336-8534b0ce1747,1915-05-11,0,Northern,,Fort William-Port Arthur,8,,Fargo-Moorhead,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 12, 1915",0,0,0,0,0,0,3,2,3,,,,,,0,0,0,5,1,0,0,0,0,,,,,
d8dd2a45-0339-5fe3-a66c-923e1eceb91e,1915-05-11,0,Northern,,Virginia,0,,Grand Forks,5,,,1:15,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 12, 1915",0,0,0,0,0,0,0,0,0,,,,,,0,3,1,0,0,0,0,1,x,,,,,
d97fa76d-3b02-5c9b-a6a7-6973484863fd,1915-05-11,0,Northern,,Duluth,6,,St. Boniface,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 12, 1915",0,0,0,0,0,2,0,0,4,,,,,,4,0,0,0,3,0,0,0,x,,,,,
78280cc9-26c0-5554-9052-a133ab5c7dde,1915-05-11,0,Northern,,Superior,10,,Winnipeg,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 12, 1915",1,1,1,0,3,0,3,2,0,,,,,,0,0,1,1,1,0,1,1,0,,,,,
dc176ab5-41cf-55e7-b464-30e946286b42,1915-05-12,0,Northern,,Fort William-Port Arthur,2,,Fargo-Moorhead,3,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 13, 1915",0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
60276406-800b-587e-8438-06a59fe0fd56,1915-05-12,0,Northern,,Virginia,4,,Grand Forks,0,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 13, 1915",0,0,3,0,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
a180531c-c21e-5377-9029-cf6a4c1dbba0,1915-05-12,0,Northern,,Duluth,1,,St. Boniface,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 13, 1915",0,0,0,0,1,0,0,0,0,,,,,,1,0,2,0,2,0,0,0,x,,,,,
5cc3aa1a-d417-52f8-8832-be3c6abefde8,1915-05-12,0,Northern,,Superior,8,,Winnipeg,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 13, 1915",0,1,0,2,2,1,1,0,1,,,,,,1,0,2,0,1,3,0,0,0,,,,,
b0b23a7f-b9d6-5672-8ea4-e7ba060c6632,1915-05-13,0,Northern,,Fort William-Port Arthur,11,,Fargo-Moorhead,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 14, 1915",0,0,4,0,0,0,0,6,1,,,,,,3,0,0,0,0,0,0,0,3,,,,,
94560ada-6906-5ff1-a5bc-c3e50b832dd2,1915-05-13,0,Northern,,Virginia,4,,Grand Forks,7,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 14, 1915",1,0,0,0,1,1,1,0,0,,,,,,0,0,0,2,1,0,4,0,x,,,,,
f7913104-a7ef-58d4-b7fd-54431052d818,1915-05-13,0,Northern,,Duluth,7,,St. Boniface,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 14, 1915",1,1,0,1,2,0,2,0,,,,,,,1,3,0,0,1,0,0,0,,,,,,
ada885e6-a19c-5314-8a04-102f0a0412ed,1915-05-13,0,Northern,,Superior,1,,Winnipeg,4,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 14, 1915",0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,2,0,1,x,,,,,
f1742d68-58c2-5424-ab07-392d9d3f5bea,1915-05-14,0,Northern,,Duluth,5,,Fargo-Moorhead,11,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 15, 1915",1,0,0,1,0,3,0,0,0,,,,,,1,5,0,0,0,2,1,2,x,,,,,
5a18e43c-cff9-5b7c-b766-f25f482e24c6,1915-05-14,0,Northern,,Superior,5,,Grand Forks,10,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 15, 1915",0,0,0,0,1,0,0,4,0,,,,,,0,4,1,0,4,0,0,1,x,,,,,
70cff03e-8663-585e-8b88-550e5f1e708b,1915-05-14,0,Northern,,Fort William-Port Arthur,3,,St. Boniface,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 15, 1915",3,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,1,0,0,0,0,,,,,
f55af8e4-f5a3-5d5b-971a-a0cf1e19aefd,1915-05-14,0,Northern,,Virginia,12,,Winnipeg,0,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 15, 1915",4,0,3,0,0,0,2,0,3,,,,,,0,0,0,0,0,0,0,0,0,,,,,
2c7b06df-5c84-5087-8958-8572f8b69770,1915-05-15,0,Northern,,Duluth,,,Fargo-Moorehead,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d3899f9-4620-5d81-bd4f-238b9e987c4c,1915-05-15,0,Northern,,Superior,,,Grand Forks,,,,,,postponed,rain,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46793b41-da18-57bc-9207-96e3977a466d,1915-05-15,0,Northern,,Fort William-Port Arthur,0,,St. Boniface,1,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 16, 1915",0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,x,,,,,
d6fa1223-098b-5872-a093-ea7340b3a32b,1915-05-15,0,Northern,,Virginia,1,,Winnipeg,2,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 16, 1915",0,0,0,0,0,0,0,0,1,,,,,,0,0,0,0,1,0,0,0,1,,,,,
0d86526d-da1a-57eb-a945-3e3b46c4ea8e,1915-05-16,0,Northern,,Duluth,,,Fargo-Moorhead,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdba23d1-4b1d-5369-9a74-255af8f05413,1915-05-16,0,Northern,,Superior,2,,Grand Forks,3,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,1,
ab02a197-fd7d-5ccd-9eb5-e35f858ffd1e,1915-05-17,0,Northern,,Duluth,,,Fargo-Moorehead,,,,,,postponed,cold and wet grounds,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
259f4c27-7248-5dae-9bcb-7b444dc398bc,1915-05-17,0,Northern,,Superior,,,Grand Forks,,,,,,postponed,cold and wet grounds,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
53f6366a-fba3-5008-9696-638868c4b68e,1915-05-17,0,Northern,,Fort William-Port Arthur,,,St. Boniface,,,,,,postponed,cold and wet grounds,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
93df1d51-8f21-5a26-b958-e8aa0e794aa6,1915-05-17,0,Northern,,Virginia,,,Winnipeg,,,,,,postponed,cold and wet grounds,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
f63d1bb3-9890-5736-a3d0-6e5a2a214f68,1915-05-18,0,Northern,,Superior,1,,Fargo-Moorhead,4,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 19, 1915",0,0,0,1,0,0,0,0,0,,,,,,0,1,0,1,2,0,0,0,0,,,,,
cbcba5c2-032a-5f9a-ac69-ed3a6c69b2d6,1915-05-18,0,Northern,,Duluth,1,,Grand Forks,7,,,1:35,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 19, 1915",1,0,0,0,0,0,0,0,0,,,,,,0,0,0,2,0,0,1,4,x,,,,,
9a220bf9-73fe-54ff-b135-3d7d01f10105,1915-05-18,0,Northern,,Virginia,3,,St. Boniface,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150513.txt,"Grand Forks Daily Herald, May 19, 1915",0,0,0,0,0,0,2,1,0,,,,,,0,0,0,0,5,0,0,0,x,,,,,
