game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
0a2d604c-a5d5-58b9-acc3-98cb10106917,1915-05-08,0,TOTALS,,Fargo-Moorhead,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a2d604c-a5d5-58b9-acc3-98cb10106917,1915-05-08,0,TOTALS,,Virginia,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,Miller,,St. Boniface,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,Spellman,,St. Boniface,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,TOTALS,,St. Boniface,,,,11,,11,,,,,,,,,,,,,,,,,,,,,,3,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,Ryan,,Superior,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,Kurke,,Superior,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b8da9ca-5152-5509-b807-991888da1df3,1915-05-08,0,TOTALS,,Superior,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,3,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,Boley,,Duluth,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,Sweeley,,Duluth,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,TOTALS,,Duluth,,,,6,,8,,,,,,,,,,,,,,,,,,,,,,2,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,Patterson,,Winnipeg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,O'Donnell,,Winnipeg,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d15d8c-eda1-5581-b5b3-e5ec8bd23abe,1915-05-08,0,TOTALS,,Winnipeg,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,9,,,
6c972fb8-1b12-5842-8d6b-55ec9db88423,1915-05-08,0,Wertz,,Fort William-Port Arthur,2b,1,3,2,,0,,,,,,,,,1,,,,,,,,,,,2,3,2,1,,
6c972fb8-1b12-5842-8d6b-55ec9db88423,1915-05-08,0,Sullivan,,Fort William-Port Arthur,lf,2,3,0,,0,,,,,,1,,,,,,,,,,,,,,3,0,0,,,
